"Pipe ID","Pipeline","Start Chainage","End Chainage","SC(m)","EC (m)","Area m2","Timber Density HEAVY/LIGHT/TRIM","Other Information","Loaded to Master Register?"
"VEG_PHW054","PHW","8.95","8.96","8950","8960","88.8","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW055","PHW","8.97","8.98","8970","8980","5","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW056","PHW","9.14","9.15","9140","9150","164","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW057","PHW","9.22","9.23","9220","9230","40","LIGHT","3 SMALL TREES","LOADED"
"VEG_PHW058","PHW","9.46","9.47","9460","9470","48","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW059","PHW","9.59","9.6","9590","9600","29","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW060","PHW","10.32","10.33","10320","10330","65.7","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW061","PHW","11.18","11.19","11180","11190","23.8","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW062","PHW","13.59","13.61","13590","13610","90","LIGHT","4 SMALL TREE","LOADED"
"VEG_PHW063","PHW","13.96","13.98","13960","13980","73","TRIM","3 LARGE TREES","LOADED"
"VEG_PHW064","PHW","14.25","14.26","14250","14260","21.5","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW065","PHW","14.35","14.36","14350","14360","29","TRIM","1 LARGE TREE","LOADED"
"VEG_PHW066","PHW","15.76","15.77","15760","15770","43","TRIM","1 LARGE TREE","LOADED"
"VEG_PHW067","PHW","18.99","19","18990","19000","63.7","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW068","PHW","19.01","19.06","19010","19060","593","HEAVY","6 LARGE TREES","LOADED"
"VEG_PHW069","PHW","19.11","19.12","19110","19120","105","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW070","PHW","19.132","19.132","19132","19132","73","HEAVY","1 LARGE TREES","LOADED"
"VEG_PWG001","PWG","0.4","0.43","","","234","HEAVY","4 SMALL TREES","LOADED"
"VEG_PWG002","PWG","0.44","0.45","","","113","LIGHT","2 SMALL TREES","LOADED"
"VEG_PWG003","PWG","0.49","0.53","","","273","HEAVY","MULTIPLE SMALL TREES","LOADED"
"VEG_PWG004","PWG","0.59","0.74","","","1550","HEAVY","MULTIPLE LARGE & SMALL TREES","LOADED"
"VEG_PWG005","PWG","0.76","0.88","","","1520","HEAVY","MULTIPLE LARGE & SMALL TREES","LOADED"
"VEG_PWG006","PWG","0.99","1","","","56.6","LIGHT","1 SMALL TREE","LOADED"
"VEG_PWG007","PWG","1.04","1.05","","","27","LIGHT","1 SMALL TREE","LOADED"
"VEG_PWG008","PWG","1.43","1.46","","","215","HEAVY","MULTIPLE SMALL TREES & 1 LARGE TREE","LOADED"
"VEG_PWG009","PWG","2.21","2.22","","","80","HEAVY","MULTIPLE SMALL TREES","LOADED"
"VEG_PWG010","PWG","2.37","2.38","","","50","LIGHT","2 SMALL TREES","LOADED"
"VEG_PWG011","PWG","3.25","3.26","","","31.4","LIGHT","1 SMALL TREE","LOADED"
"VEG_PWG012","PWG","3.54","3.56","","","145","HEAVY","1 LARGE TREE","LOADED"
"VEG_PWG013","PWG","3.59","3.6","","","13.6","LIGHT","1 SMALL TREE","LOADED"
"VEG_PWG014","PWG","4.08","4.09","","","46.6","LIGHT","1 SMALL TREE","LOADED"
"VEG_PWG015","PWG","10.68","10.69","","","116","HEAVY","MULTIPLE SMALL TREES","LOADED"
"VEG_PWG016","PWG","21.58","21.59","","","74.8","HEAVY","1 LARGE TREE","LOADED"
"VEG_PWG017","PWG","24.01","24.02","","","32.5","LIGHT","1 SMALL TREE","LOADED"
"VEG_PWG018","PWG","24.83","24.86","","","176","HEAVY","MULTIPLE SMALL TREES","LOADED"
"VEG_PWG019","PWG","26.07","26.08","","","64.7","HEAVY","2 LARGE TREES","LOADED"
"VEG_PWG020","PWG","26.29","26.3","","","23","LIGHT","2 SMALL TREES","LOADED"
"VEG_PWG021","PWG","26.43","26.44","","","79","HEAVY","1 LARGE TREE","LOADED"
"VEG_PLG001","PLG","0.22","0.23","","","21.8","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLG002","PLG","0.69","0.71","","","135","HEAVY","2 LARGE TREES","NOT LOADED - section not in register"
"VEG_PLG003","PLG","1.5","1.52","","","114","HEAVY","MULTIPLE LARGE & SMALL TREES","NOT LOADED - section not in register"
"VEG_PLG004","PLG","4.71","4.74","","","187","HEAVY","MULTIPLE SMALL TREES","NOT LOADED - section not in register"
"VEG_PLG005","PLG","5.97","5.99","","","80.1","HEAVY","1 LARGE TREE & 2 SMALL TREES","NOT LOADED - section not in register"
"VEG_PLG006","PLG","7.65","7.66","","","215","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLG007","PLG","7.69","7.71","","","161","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLG008","PLG","7.73","7.76","","","266","HEAVY","MULTIPLE LARGE TREES","NOT LOADED - section not in register"
"VEG_PLG009","PLG","7.77","7.78","","","199","HEAVY","MULTIPLE LARGE TREES","NOT LOADED - section not in register"
"VEG_PLG010","PLG","7.8","7.83","","","380","HEAVY","MULTIPLE LARGE TREES","NOT LOADED - section not in register"
"VEG_PLG011","PLG","8.6","8.61","","","22.4","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLG012","PLG","15.78","15.78","","","32.5","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLG013","PLG","15.82","15.82","","","32.9","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLG014","PLG","15.91","15.91","","","39.4","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLG015","PLG","15.96","15.96","","","28.7","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLG016","PLG","15.99","16","","","20.4","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLG017","PLG","16.03","16.04","","","38.9","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLG018","PLG","16.09","16.09","","","42.9","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLG019","PLG","16.23","16.24","","","129","HEAVY","2 LARGE TREES","NOT LOADED - section not in register"
"VEG_PLG020","PLG","16.31","16.37","","","340","HEAVY","MULTIPLE LARGE TREES","NOT LOADED - section not in register"
"VEG_PLG021","PLG","16.98","17","","","196","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLG022","PLG","17.45","17.49","","","281","HEAVY","MULTIPLE LARGE & SMALL TREES","NOT LOADED - section not in register"
"VEG_PLG023","PLG","18.05","18.06","","","58","TRIM","BRANCHES HANGING OVER PIPE","NOT LOADED - section not in register"
"VEG_PLG024","PLG","23.6","23.657","","","563","HEAVY","MULTIPLE SMALL TREES","NOT LOADED - section not in register"
"VEG_PLE001","PLE","0.63","0.64","","","83","TRIM","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE002","PLE","1.79","1.81","","","188","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE003","PLE","1.84","1.85","","","237","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE004","PLE","2.04","2.06","","","357","HEAVY","4 LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE005","PLE","2.15","2.16","","","268","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE006","PLE","2.43","2.44","","","76.5","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE007","PLE","2.46","2.46","","","22","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLE008","PLE","4.97","4.98","","","241","HEAVY","2 LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE009","PLE","4.98","5.01","","","306","HEAVY","3 LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE010","PLE","5.03","5.04","","","140","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE011","PLE","5.08","5.09","","","182","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE012","PLE","5.13","5.13","","","60","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE013","PLE","5.14","5.18","","","322","HEAVY","MULTIPLE LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE014","PLE","5.21","5.23","","","150","HEAVY","2 LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE015","PLE","5.25","5.26","","","131","HEAVY","2 LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE016","PLE","5.38","5.39","","","149","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE017","PLE","5.4","5.56","","","1793","HEAVY","MULTIPLE LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE018","PLE","5.57","5.73","","","1341","HEAVY","MULTIPLE LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE019","PLE","5.82","5.84","","","188","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE020","PLE","6.08","6.09","","","101","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE021","PLE","6.56","6.57","","","212","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE022","PLE","6.72","6.73","","","146","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE023","PLE","6.75","6.77","","","223","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE024","PLE","6.78","6.81","","","279","HEAVY","4 LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE025","PLE","6.85","6.88","","","375","HEAVY","MULTIPLE LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE026","PLE","6.91","6.93","","","299","HEAVY","MULTIPLE LARGE TREES","NOT LOADED - section not in register"
