"Timestamp","Edited by","Record Key","Asset ID","Field","Previous value","New value","Sheet cell"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0013","VEG_PHW013","RECORD ADDED","","Vegetation @ 890.0-900.0 m, 24.2 m2 LIGHT","T2W - Tree Removal TakeOff (V.1).xlsx row 30"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0014","VEG_PHW014","RECORD ADDED","","Vegetation @ 920.0-930.0 m, 66.5 m2 HEAVY","T2W - Tree Removal TakeOff (V.1).xlsx row 31"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0015","VEG_PHW015","RECORD ADDED","","Vegetation @ 950.0-950.0 m, 9.64 m2 LIGHT","T2W - Tree Removal TakeOff (V.1).xlsx row 32"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0016","VEG_PHW016","RECORD ADDED","","Vegetation @ 960.0-980.0 m, 123 m2 HEAVY","T2W - Tree Removal TakeOff (V.1).xlsx row 33"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0017","VEG_PHW017","RECORD ADDED","","Vegetation @ 1000-1010.0 m, 55.6 m2 TRIM","T2W - Tree Removal TakeOff (V.1).xlsx row 34"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0018","VEG_PHW018","RECORD ADDED","","Vegetation @ 1010.0-1020.0 m, 57.9 m2 HEAVY","T2W - Tree Removal TakeOff (V.1).xlsx row 35"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0019","VEG_PHW019","RECORD ADDED","","Vegetation @ 1040.0-1050.0 m, 23 m2 LIGHT","T2W - Tree Removal TakeOff (V.1).xlsx row 36"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0020","VEG_PHW020","RECORD ADDED","","Vegetation @ 1070.0-1080.0 m, 85.4 m2 HEAVY","T2W - Tree Removal TakeOff (V.1).xlsx row 37"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0021","VEG_PHW021","RECORD ADDED","","Vegetation @ 1100.0-1130.0 m, 117 m2 HEAVY","T2W - Tree Removal TakeOff (V.1).xlsx row 38"
"2026-08-24 09:54","J. Krasnoff-Hnatjuk","PHW-VG-0022","VEG_PHW022","RECORD ADDED","","Vegetation @ 1140.0-1150.0 m, 82 m2 HEAVY","T2W - Tree Removal TakeOff (V.1).xlsx row 39"
