"Col2","Located","C&G","TRENCH","Surveyors PtNo","E","N","Z","Survey Code","Actual Chainage","Asset Id","KP","Pipeline Section","Utility Type","Utility Description","Operator","Location","Material","Size (mm)","ID","Proven to Underside of Service","Test Point","C&G Code","Trench Code","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m) (Minimum 600mm clearance to underside of asse","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Permit to Excavate Near Assets Required?","Permit/Notification Date","Crossing Permit Required?","Permit/Notification Date 2","Comments","Thrust Block Category"
"","","","","","","","","","","PWG-TB-102","26662.937","PWG","THRUST BLOCK","Type 7","","","DICL","375","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PWG-TB-103","230.031","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-104","702.553","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-105","7092.671","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-106","8908.151","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-107","9473.063","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-108","10553.492","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-109","12687.754","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-110","13188.911","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-111","14143.438","PWG","THRUST BLOCK","Type 6","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-112","14224.068","PWG","THRUST BLOCK","Type 6","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-113","15788.534","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-114","18149.44","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-115","18772.846","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-116","19641.881","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-117","20287.711","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-118","21452.237","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-119","22316.144","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-120","22680.903","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-121","23376.417","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-122","24206.919","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-123","25018.345","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-124","25792.787","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-125","26041.176","PWG","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PWG-TB-126","4040.672","PWG","THRUST BLOCK","Type 12","","","","375","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PWG-TB-127","7536.828","PWG","THRUST BLOCK","Type 13","","","","375","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PWG-TB-128","8475.323","PWG","THRUST BLOCK","Type 13","","","","375","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PWG-TB-129","8562.951","PWG","THRUST BLOCK","Type 13","","","","375","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PWG-TB-130","13366.211","PWG","THRUST BLOCK","Type 13","","","","375","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PWG-TB-131","22075.201","PWG","THRUST BLOCK","Type 13","","","","375","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PWG-TB-132","99.181","PWG","THRUST BLOCK","2 x Type 13","","","","375","","","","","","","","","","","","","","","","","","","","","Pigging Station"
"","","","","","","","","","","PWG-TB-133","7595.718","PWG","THRUST BLOCK","2 x Type 13","","","","375","","","","","","","","","","","","","","","","","","","","","Pigging Station"
"","","","","","","","","","","PWG-TB-134","17865.623","PWG","THRUST BLOCK","2 x Type 13","","","","375","","","","","","","","","","","","","","","","","","","","","Pigging Station"
"","","","","","","","","","","PHW-TB-077","1261.832","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-078","1727.817","PHW","THRUST BLOCK","Type 6","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-079","2746.277","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-080","3558.423","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-081","4470","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-082","4661.417","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-083","4961.176","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-084","6796.976","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-085","8197.671","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-086","10103.635","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-087","11396.642","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-088","11596.46","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-089","13125.991","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-090","15248.457","PHW","THRUST BLOCK","Type 7","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-091","17038.094","PHW","THRUST BLOCK","Type 6","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-092","17984.612","PHW","THRUST BLOCK","Type 6","","","DICL","150","","","","","","","","","","","","","","","","","","","","","Tee"
"","","","","","","","","","","PHW-TB-093","842.62","PHW","THRUST BLOCK","Type 12","","","","600","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PHW-TB-094","2019.495","PHW","THRUST BLOCK","Type 12","","","","600","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PHW-TB-095","2140.173","PHW","THRUST BLOCK","Type 12","","","","600","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PHW-TB-096","7335.153","PHW","THRUST BLOCK","Type 12","","","","600","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PHW-TB-097","14323.567","PHW","THRUST BLOCK","Type 12","","","","600","","","","","","","","","","","","","","","","","","","","","Isolation Valve"
"","","","","","","","","","","PHW-TB-098","19120.153","PHW","THRUST BLOCK","Type 14","","","","600","","","","","","","","","","","","","","","","","","","","","In-Line"
"","","","","","","","","","","PHW-TB-099","19155.385","PHW","THRUST BLOCK","Type 14","","","","600","","","","","","","","","","","","","","","","","","","","","In-Line"
"","","","","","","","","","","PHW-TB-100","9801.143","PHW","THRUST BLOCK","2 x Type 12","","","","600","","","","","","","","","","","","","","","","","","","","","Pigging Station"
"","","","","","","","","","","PHW-TB-101","19097.802","PHW","THRUST BLOCK","2 x Type 12","","","","600","","","","","","","","","","","","","","","","","","","","","Pigging Station"
