"Asset Id","Pipeline Section","KP","Utility Description","Utility Type","Operator","Size (mm)","Info Source","Drawing","Drawing (superseded)","Included in Current Plan","Comments","Source Row"
"PHW-CM-0053","PHW","18717","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-027.2","","Yes","LOCATION OF TELECOMS SERVICE NOT KNOWN.CONTRACTOR TO CONFIRM PRIOR TO CONSTRUCTION","153"
"PHW-CM-0054","PHW","18828","BYDA TELSTRA COMMS DN35 ","COMMUNICATIONS","Telstra","35","BYDA","D-DWG-PHW-027.2","","Yes","","154"
"PHW-EL-0042","PHW","18889","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-027.2","","Yes","","155"
"PHW-CM-0055","PHW","19123","BYDA TELSTRA COMMS DN20","COMMUNICATIONS","Telstra","20","BYDA","D-DWG-PHW-028.2","","Yes","CONTRACTOR TO LOCATE EXISTING TELECOMS AND
ENSURE PIGGING STATION DOES NOT CLASH","156"
"PHW-FN-0022","PHW","19124","FENCE LINE NO POSTS  - WIRES ONLY","FENCE","","","","D-DWG-PHW-028.2","","Yes","","157"
"PHW-FN-0023","PHW","19155","FENCE LINE NO POSTS  - WIRES ONLY","FENCE","","","","D-DWG-PHW-028.2","","Yes","","158"
"PWG-CM-0001","PWG","12","BYDA TELSTRA COMMS DN20","COMMUNICATIONS","Telstra","20","BYDA","D-DWG-PWG-001.2","","Yes","","159"
"PWG-FN-0001","PWG","635","FENCE LINE NO POSTS -
WIRES ONLY","FENCE","","","","D-DWG-PWG-001.2","","Yes","","160"
"PWG-FN-0002","PWG","653","FENCE LINE NO POSTS -
WIRES ONLY","FENCE","","","","D-DWG-PWG-001.2","","Yes","","161"
"PWG-FN-0003","PWG","755","FENCE LINE NO POSTS - WIRES ONLY","FENCE","","","","D-DWG-PWG-002.2","","Yes","","162"
"PWG-FN-0004","PWG","905","FENCE LINE NO POSTS - WIRES ONLY","FENCE","","","","D-DWG-PWG-002.2","D-DWG-PWG-002_C","Yes","","163"
"PWG-SW-0001","PWG","1183","BYDA SEWER DN375","SEWER","","375","BYDA","D-DWG-PWG-002.2","","Yes","","164"
"PWG-EL-0001","PWG","1403","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PWG-003.2","","Yes","","165"
"PWG-CM-0002","PWG","1425","BYDA TELSTRA COMMS","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PWG-003.2","","Yes","","166"
"PWG-CM-0003","PWG","1469","PUP COMMS DN50","COMMUNICATIONS","","50","PUP","D-DWG-PWG-003.2","D-DWG-PWG-003_C","Yes","","167"
"PWG-EL-0002","PWG","1494","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PWG-003.2","","Yes","","168"
"PWG-EL-0003","PWG","1788","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PWG-003.2","","Yes","","169"
"PWG-EL-0004","PWG","1839","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PWG-003.2","","Yes","","170"
"PWG-CM-0004","PWG","1867","PUP COMMS DN100","COMMUNICATIONS","","100","PUP","D-DWG-PWG-003.2","","Yes","","171"
"PWG-CM-0005","PWG","1871","BYDA NBN COMMS DN30","COMMUNICATIONS","NBN Co","30","BYDA","D-DWG-PWG-003.2","","Yes","","172"
"PWG-CM-0006","PWG","1872","PUP COMMS DN35","COMMUNICATIONS","","35","PUP","D-DWG-PWG-003.2","","Yes","","173"
"PWG-DR-0001","PWG","1894","PUP DRAINAGE DN1200x450","DRAINAGE","","1200 x 450","PUP","D-DWG-PWG-003.2","","Yes","","174"
"PWG-SW-0002","PWG","1900","BYDA SEWER DN250","SEWER","","250","BYDA","D-DWG-PWG-003.2","","Yes","","175"
"PWG-SW-0003","PWG","2046","BDYA TRC SEWER DN 150","SEWER","Toowoomba Regional Council","150","BYDA","D-DWG-PWG-003.2","","Yes","","176"
"PWG-EL-0005","PWG","2186","BYDA ELECTRICITY UGD DN100","ELECTRICITY","","100","BYDA","D-DWG-PWG-004.2","","Yes","","177"
